ETB,EUR,GBP,KES,TZS,USD
0.5666999999999973,12.502450000000067,14.940514000000007,0.11545999999999967,0.006205999999999989,9.663356000000022
0.5660919999999976,12.501083999999992,15.022758000000067,0.11567799999999995,0.006203999999999987,9.665288000000032
0.5655919999999952,12.609335999999985,15.088481999999999,0.11542399999999997,0.006193999999999977,9.665288000000032
0.5652840000000054,12.545626000000084,15.078727999999956,0.1134700000000004,0.006195999999999979,9.668329999999969
0.5649659999999983,12.417348000000061,15.011468000000036,0.11218599999999945,0.006164000000000003,9.672338000000082
0.5623300000000029,12.373722000000043,14.988895999999954,0.11307800000000068,0.006130000000000024,9.671504000000027
0.5623440000000031,12.348883999999998,14.935108000000014,0.1126819999999995,0.006154000000000048,9.671745999999985
0.5656759999999963,12.348087999999962,14.95465999999999,0.11197599999999941,0.006187999999999971,9.671879999999987
0.5655840000000012,12.281259999999975,14.879666000000043,0.11221199999999953,0.006193999999999977,9.670283999999924
0.5659700000000001,12.336817999999994,14.845377999999982,0.11237999999999992,0.006203999999999987,9.67062599999997
0.5596719999999991,12.360193999999979,14.822176000000013,0.11280400000000057,0.006153999999999993,9.670000000000073
0.5622399999999956,12.361771999999974,14.821281999999997,0.11290200000000006,0.006174000000000013,9.671310000000062
0.5655020000000022,12.347262,14.861961999999949,0.11318399999999951,0.006186000000000025,9.668203999999946
0.5653879999999987,12.30786999999998,14.863828000000012,0.11327800000000021,0.006166000000000005,9.670675999999958
0.5642920000000018,12.473327999999924,14.925845999999979,0.11425000000000018,0.006164000000000003,9.66700000000003
0.5672120000000049,12.47526199999993,14.950980000000072,0.1144879999999997,0.006181999999999965,9.66700000000003
0.5673600000000008,12.477533999999991,14.954862000000048,0.11451799999999945,0.006184000000000023,9.669508000000064
0.5655399999999986,12.57391199999995,15.054063999999926,0.113016,0.006155999999999995,9.672984000000042
0.565813999999996,12.53589999999997,15.06223,0.11346399999999957,0.006155999999999995,9.672016000000099
0.5637180000000015,12.715190000000007,15.162686000000008,0.1140939999999997,0.006139999999999979,9.670080000000098
0.5669419999999974,12.705912000000012,15.190799999999967,0.11603600000000025,0.006164000000000003,9.672588000000019
0.5670879999999983,12.70049599999993,15.209248000000002,0.116066,0.006166000000000005,9.675093999999945
0.5671220000000048,12.701251999999954,15.210142000000019,0.11607199999999995,0.006166000000000005,9.675661999999988
0.5623720000000034,12.701358000000027,15.307383999999956,0.11696400000000029,0.006152000000000046,9.669857999999977
0.5603120000000033,12.725532000000044,15.301582000000053,0.11702600000000007,0.006167999999999951,9.669857999999977
0.5614399999999975,12.62972000000002,15.25007000000005,0.11728200000000033,0.006170000000000009,9.672758000000044
0.5626180000000005,12.688724000000093,15.297465999999986,0.1178720000000002,0.006157999999999997,9.672758000000044
0.5625539999999987,12.851264000000015,15.363075999999978,0.11846999999999941,0.006139999999999979,9.675700000000006
0.562336000000002,12.826084000000037,15.322193999999968,0.118506,0.006153999999999993,9.678601999999955
0.5614179999999962,12.825062000000003,15.330016,0.11863199999999985,0.006159999999999999,9.686601999999993
0.5629400000000047,12.848639999999932,15.313863999999967,0.11901600000000023,0.006171999999999955,9.69416000000001
0.5636420000000015,12.791912000000025,15.265170000000012,0.11878600000000006,0.006179999999999963,9.695249999999987
0.5633460000000028,12.742313999999965,15.22505000000001,0.11889200000000066,0.006178000000000017,9.694395999999983
0.5632760000000019,12.599669999999946,15.200448000000051,0.11885799999999946,0.006172000000000011,9.693546000000083
0.5634519999999981,12.731254000000035,15.337773999999968,0.11865199999999998,0.006168000000000007,9.689667999999983
0.5629119999999972,12.726257999999916,15.331640000000107,0.11861199999999972,0.006164000000000003,9.685791999999992
0.5617739999999998,12.783382000000074,15.296303999999964,0.11826399999999992,0.006154000000000048,9.67998
0.5613240000000062,12.785730000000058,15.185409999999933,0.11816799999999983,0.006149999999999989,9.672235999999998
0.5621200000000002,12.866555999999946,15.212002000000098,0.11887400000000081,0.006162000000000001,9.679923999999914
0.5636200000000002,12.984018000000106,15.295643999999925,0.11922799999999967,0.006196000000000035,9.680173999999965
0.5640859999999961,12.994845999999939,15.308283999999958,0.11932800000000032,0.006199999999999983,9.688174000000004
0.5626699999999971,13.026114000000007,15.361897999999997,0.11910399999999921,0.006182000000000021,9.692050000000108
0.5630880000000005,13.038046000000008,15.463886000000002,0.11889799999999973,0.006184000000000023,9.699483999999984
0.5631780000000006,12.931025999999974,15.470860000000016,0.11855199999999932,0.006182000000000021,9.701423999999975
0.5610299999999953,12.835012000000006,15.42257399999994,0.11830400000000019,0.006151999999999991,9.69851200000005
0.5608599999999981,12.785592000000065,15.334565999999995,0.1182679999999996,0.006149999999999989,9.695604000000003
0.5610860000000031,12.738328000000024,15.297052000000008,0.11831399999999981,0.006151999999999991,9.699481999999989
0.5610860000000031,12.740268000000015,15.259223999999904,0.11831399999999981,0.006151999999999991,9.699481999999989
0.5629640000000009,12.856587999999988,15.34170400000005,0.1193439999999999,0.006182000000000021,9.707482000000027
0.562654000000002,12.82843600000001,15.332965999999942,0.11889199999999978,0.006176000000000015,9.707482000000027
0.5628039999999999,12.737792000000013,15.184566000000018,0.11939600000000006,0.006179999999999963,9.709422000000018
0.5629780000000011,12.728685999999925,15.19828599999994,0.11987000000000059,0.006186000000000025,9.711364000000003
0.5629920000000013,12.691406000000029,15.255719999999997,0.1199760000000003,0.006183999999999967,9.713307999999984
0.562420000000003,12.674083999999993,15.222298000000023,0.11972400000000061,0.006174000000000013,9.707480000000032
0.5669400000000024,12.69409399999995,15.277770000000032,0.11885199999999951,0.006224000000000007,9.709418000000028
